Subject,Object
http://www.drugtargetontology.org/dto/DTO_62000173,http://purl.obolibrary.org/obo/CHEBI_16044
http://www.drugtargetontology.org/dto/DTO_03100507,http://www.drugtargetontology.org/dto/DTO_03300229
http://www.drugtargetontology.org/dto/DTO_02100465,http://www.drugtargetontology.org/dto/DTO_02300002
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/DOID_0050736
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/DOID_0050736
http://www.drugtargetontology.org/dto/DTO_02302004,http://www.drugtargetontology.org/dto/DTO_02300017
http://www.drugtargetontology.org/dto/DTO_03300124,http://www.drugtargetontology.org/dto/DTO_03300107
http://www.drugtargetontology.org/dto/DTO_02100816,http://www.drugtargetontology.org/dto/DTO_02300002
http://www.drugtargetontology.org/dto/DTO_03100345,http://www.drugtargetontology.org/dto/DTO_03391035
http://purl.obolibrary.org/obo/DOID_3007,http://purl.obolibrary.org/obo/DOID_3459
http://purl.obolibrary.org/obo/DOID_13096,http://purl.obolibrary.org/obo/DOID_0050828
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/DOID_3527
http://www.drugtargetontology.org/dto/DTO_02100110,http://www.drugtargetontology.org/dto/DTO_02300043
http://www.drugtargetontology.org/dto/DTO_02100128,http://www.drugtargetontology.org/dto/DTO_02300051
http://purl.obolibrary.org/obo/BTO_0001054,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0000592
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/DOID_11201
http://purl.obolibrary.org/obo/DOID_13544,http://purl.obolibrary.org/obo/DOID_1067
http://www.drugtargetontology.org/dto/DTO_62000062,http://purl.obolibrary.org/obo/CHEBI_30006
http://www.drugtargetontology.org/dto/DTO_03300313,http://www.drugtargetontology.org/dto/DTO_03300145
http://www.drugtargetontology.org/dto/DTO_02200592,http://www.drugtargetontology.org/dto/DTO_02400013
http://purl.obolibrary.org/obo/BTO_0001421,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/UBERON_0001062
http://purl.obolibrary.org/obo/DOID_2462,http://purl.obolibrary.org/obo/DOID_5679|http://purl.obolibrary.org/obo/DOID_178
http://www.drugtargetontology.org/dto/DTO_00217532,http://www.drugtargetontology.org/dto/DTO_00217461
http://purl.obolibrary.org/obo/DOID_1920,http://purl.obolibrary.org/obo/DOID_0060158
http://www.drugtargetontology.org/dto/DTO_02200700,http://www.drugtargetontology.org/dto/DTO_02400013
http://purl.obolibrary.org/obo/CHEBI_80338,http://purl.obolibrary.org/obo/CHEBI_16670
http://www.drugtargetontology.org/dto/DTO_02100443,http://www.drugtargetontology.org/dto/DTO_02300013
http://www.drugtargetontology.org/dto/DTO_03100267,http://www.drugtargetontology.org/dto/DTO_03300283
http://purl.obolibrary.org/obo/DOID_5419,http://purl.obolibrary.org/obo/DOID_2468
http://purl.obolibrary.org/obo/BTO_0001300,http://www.drugtargetontology.org/dto/DTO_00000018
http://purl.obolibrary.org/obo/BTO_0000078,http://purl.obolibrary.org/obo/BTO_0000801|http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0000524|http://purl.obolibrary.org/obo/BTO_0002606
http://www.drugtargetontology.org/dto/DTO_02200088,http://www.drugtargetontology.org/dto/DTO_02400039
http://www.drugtargetontology.org/dto/DTO_02100019,http://www.drugtargetontology.org/dto/DTO_02300031
http://purl.obolibrary.org/obo/DOID_2151,http://purl.obolibrary.org/obo/DOID_2152
http://www.drugtargetontology.org/dto/DTO_03200079,http://www.drugtargetontology.org/dto/DTO_03400138
http://purl.obolibrary.org/obo/DOID_8501,http://purl.obolibrary.org/obo/DOID_5614
http://www.drugtargetontology.org/dto/DTO_03100217,http://www.drugtargetontology.org/dto/DTO_03300171
http://purl.obolibrary.org/obo/DOID_1342,http://purl.obolibrary.org/obo/DOID_12449
http://www.drugtargetontology.org/dto/DTO_03200122,http://www.drugtargetontology.org/dto/DTO_03400270
http://www.drugtargetontology.org/dto/DTO_02200505,http://www.drugtargetontology.org/dto/DTO_02400013
