subject,predicate,object
http://www.drugtargetontology.org/dto/DTO_62000173,Preferred Label,"[""MET448 in SYK""]"
http://www.drugtargetontology.org/dto/DTO_62000173,Parents,http://purl.obolibrary.org/obo/CHEBI_16044
http://www.drugtargetontology.org/dto/DTO_62000173,has role,http://www.drugtargetontology.org/dto/DTO_00000002
http://www.drugtargetontology.org/dto/DTO_62000173,http://data.bioontology.org/metadata/prefixIRI,dto:DTO_62000173
http://www.drugtargetontology.org/dto/DTO_62000173,http://www.w3.org/2000/01/rdf-schema#label,MET448 in SYK
http://www.drugtargetontology.org/dto/DTO_62000173,Class ID_0,http://www.drugtargetontology.org/dto/DTO_62000173
http://www.drugtargetontology.org/dto/DTO_03100507,Preferred Label,"[""Serine/threonine-protein kinase 40""]"
http://www.drugtargetontology.org/dto/DTO_03100507,Definitions,"A serine/threonine-protein kinase 40 that is encoded in the genome of human. [PRO:DNx, UniProtKB:Q8N2I9] "
http://www.drugtargetontology.org/dto/DTO_03100507,Parents,http://www.drugtargetontology.org/dto/DTO_03300229
http://www.drugtargetontology.org/dto/DTO_03100507,definition,"A serine/threonine-protein kinase 40 that is encoded in the genome of human. [PRO:DNx, UniProtKB:Q8N2I9] "
http://www.drugtargetontology.org/dto/DTO_03100507,http://data.bioontology.org/metadata/prefixIRI,dto:DTO_03100507
http://www.drugtargetontology.org/dto/DTO_03100507,http://purl.obolibrary.org/obo/hasDbXref,https://pharos.nih.gov/idg/targets/Q8N2I9
http://www.drugtargetontology.org/dto/DTO_03100507,http://www.drugtargetontology.org/dto/geneSymbol,STK40
http://www.drugtargetontology.org/dto/DTO_03100507,http://www.drugtargetontology.org/dto/geneSynonym,SGK495
http://www.drugtargetontology.org/dto/DTO_03100507,http://www.drugtargetontology.org/dto/geneSynonym_0,SHIK
http://www.drugtargetontology.org/dto/DTO_03100507,http://www.drugtargetontology.org/dto/uniprot_xref,Q8N2I9
http://www.drugtargetontology.org/dto/DTO_03100507,http://www.w3.org/2000/01/rdf-schema#label,Serine/threonine-protein kinase 40
http://www.drugtargetontology.org/dto/DTO_03100507,Class ID_0,http://www.drugtargetontology.org/dto/DTO_03100507
http://www.drugtargetontology.org/dto/DTO_02100465,Preferred Label,"[""Opsin-3""]"
